Total_carbon_emissions,CSR_board_size,Indirect_carbon_emissions,Disclosure_scores,Controversy_level,Disclosure_of_R&D,Renewal_energy,Environmental_scores,Climate_change_policy,Waste_management,Planning_zero_carbon,Issue_green_bonds,Direct_carbon_emissions,MSCI_ESG_index,CSR_commitee,Water_treatment,Scope3_carbon_emissions,Biodiversity,Net_zero_targets,Govt_collaboration,ESG_funds,GHG_sales,Recycling,SDG_targets,Dow_jones_sustainability_index,Energy_conservation,Risk_score
0.0,0,0.0,31.14,2,0,0,0.33,0,0,0,0,0.0,0,0,0,0.0,0,0,0,72,60.47,0,1,1,0,29.76
2150.0,4,1290.0,55.21,4,1,1,35.28,1,1,0,0,860.0,3,1,1,0.0,0,0,0,877,36.74,1,3,1,1,34.18
71.07,0,25.01,62.86,1,1,0,32.98,1,1,0,0,46.06,3,0,1,18.63,0,0,0,934,3.63,0,3,1,1,6.99
0.0,0,0.0,33.67,0,0,0,2.87,0,1,0,0,0.0,3,0,0,0.0,0,1,0,577,6.16,1,3,1,1,9.14
2827.6,0,1027.1,54.36,2,0,0,39.35,0,1,0,0,1820.5,3,1,1,0.0,0,0,0,484,564.08,1,1,1,1,29.27
0.0,0,0.0,31.49,2,0,0,0.33,0,0,0,0,0.0,3,0,0,0.0,0,0,0,852,1.32,0,5,1,0,20.83
0.0,0,0.0,46.22,2,0,0,27.33,0,1,0,0,5453.85,3,0,0,25576.3,1,1,0,345,1023.72,0,3,1,1,25.56
0.0,0,0.0,35.49,2,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,595,26.69,0,1,1,0,21.38
0.0,0,0.0,31.98,2,0,0,0.76,0,0,0,0,0.0,3,0,0,0.0,0,0,0,868,7.53,0,1,1,1,24.01
0.0,0,0.0,31.75,2,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,1,0,627,32.66,0,1,1,0,26.53
0.0,0,0.0,46.87,2,0,0,10.36,0,0,0,0,3505.69,3,0,0,0.0,0,0,0,614,699.28,0,0,1,0,23.67
68000.0,4,5000.0,60.73,3,0,0,43.64,1,0,0,0,63000.0,3,1,1,380000.0,1,1,1,535,446.51,0,3,1,1,37.61
235.95,0,132.79,40.52,2,1,0,21.38,1,1,0,0,103.16,3,0,1,0.0,0,0,0,599,39.82,1,0,1,1,24.19
